"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
32,"LLY","Lilly(Eli) & Co","Healthcare","Drug Manufacturers - General","USA",607365.82,53.09,640.86,-14.14%,26101620
33,"MA","Mastercard Incorporated","Financial","Credit Services","USA",507349.50,37.86,561.22,-1.39%,2979747
34,"MCD","McDonald's Corp","Consumer Cyclical","Restaurants","USA",220165.75,26.37,307.91,0.08%,3603475
35,"META","Meta Platforms Inc","Communication Services","Internet Content & Information","USA",1913688.36,27.59,761.83,-1.32%,9019691
36,"MRK","Merck & Co Inc","Healthcare","Drug Manufacturers - General","USA",200746.84,12.39,80.37,1.17%,10830075
37,"MS","Morgan Stanley","Financial","Capital Markets","USA",224955.62,15.97,140.92,-0.27%,3728729
38,"MSFT","Microsoft Corporation","Technology","Software - Infrastructure","USA",3871490.64,38.18,520.84,-0.78%,16079144
39,"NFLX","Netflix Inc","Communication Services","Entertainment","USA",501570.29,50.30,1180.37,0.16%,2628321
40,"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",4410788.11,58.23,180.77,0.75%,151878365
41,"NVS","Novartis AG ADR","Healthcare","Drug Manufacturers - General","Switzerland",219967.47,16.79,115.92,2.13%,1326669
42,"ORCL","Oracle Corp","Technology","Software - Infrastructure","USA",700494.86,57.45,249.39,-2.75%,11954223
43,"PG","Procter & Gamble Co","Consumer Defensive","Household & Personal Products","USA",359530.63,23.59,153.49,0.41%,6719044
44,"PLTR","Palantir Technologies Inc","Technology","Software - Infrastructure","USA",430172.23,605.52,182.20,1.48%,77829184
45,"PM","Philip Morris International Inc","Consumer Defensive","Tobacco","USA",261771.63,31.91,168.17,0.71%,3475946
46,"RTX","RTX Corp","Industrials","Aerospace & Defense","USA",208491.28,34.22,155.76,0.01%,5105835
47,"SAP","Sap SE ADR","Technology","Software - Application","Germany",344092.71,48.89,295.46,1.26%,1854591
48,"SHEL","Shell Plc ADR","Energy","Oil & Gas Integrated","United Kingdom",208831.48,16.51,71.37,-1.20%,4783296
49,"T","AT&T, Inc","Communication Services","Telecom Services","USA",200639.82,16.00,28.06,2.07%,35331424
50,"TM","Toyota Motor Corporation ADR","Consumer Cyclical","Auto Manufacturers","Japan",236824.49,7.70,181.49,-1.36%,421779
51,"TMUS","T-Mobile US Inc","Communication Services","Telecom Services","USA",273398.01,22.91,242.93,1.55%,4061823
52,"TSLA","Tesla Inc","Consumer Cyclical","Auto Manufacturers","USA",1039465.40,186.63,322.27,0.74%,66658672
53,"TSM","Taiwan Semiconductor Manufacturing ADR","Technology","Semiconductors","Taiwan",1258195.75,27.62,242.62,4.86%,17691005
54,"UNH","Unitedhealth Group Inc","Healthcare","Healthcare Plans","USA",221950.05,10.60,244.67,-0.45%,11369901
55,"V","Visa Inc","Financial","Credit Services","USA",639804.88,32.78,332.09,-2.25%,8797064
56,"WFC","Wells Fargo & Co","Financial","Banks - Diversified","USA",246825.15,13.21,77.05,-0.72%,13105942
57,"WMT","Walmart Inc","Consumer Defensive","Discount Stores","USA",822940.73,44.24,103.12,-0.23%,12509479
58,"XOM","Exxon Mobil Corp","Energy","Oil & Gas Integrated","USA",451691.01,15.02,105.95,-0.53%,13468287
